Respondent ID	Collector ID	Start Date	End Date	IP Address	Email Address	First Name	Last Name	Custom Data 1	First Name	Last Name	What is your gender?		Do you primarily identify as:	Which of the following do you identify as? (Select as many as apply)												What is your date of birth?	Zip Code	State	City	What is your cell phone number? (Do not include parenthesis or dashes, only numbers)By entering your phone number and completing the submission form, you consent to receive text message communications from All Star Code.	What is your cell phone service provider?		What is your personal e-mail?	What is your school e-mail?	Primary Guardian's first name:	Primary Guardian's last name:	Primary guardian's e-mail:	What is the name of your current high school? (Please type out the full name, not the acronym)	What type of school is it?	What grade are you currently in?	What is your current GPA? Convert your score to the 4.0 scale. (Example: An 85, or a B, is converted to a 3.0)This information is only for our data, and will not be factored into your admission.	Do you qualify for financial aid?	Do you qualify for free/reduced lunch?	Do you have experience coding or computer science experience?Example: taking a computer science course in high school, or an online course.This information is only for our data, and will not be factored into your admission.	Can you tell us about a time that you struggled with something? For example, a subject in school, a major assignment, or a personal project. What was challenging about it? What did you do?Please be thorough in your response.	Do you prefer working solo or as part of a team? Why?	Can you tell us what you did last summer that was important to you?What did you do, and why was it important to you?Example - a job, project or hobby.	If money were no object, where you would go to college and what would you study? Also, why?What obstacles might prevent you from achieving that dream?	https://askdfsk.googleusercontent.com/8rJRLwtVDlMT2RArWcjvgpcIWIT73aLjPA-eYGIbUq7sZ-88yEvipPmjlcmc4NJ49qJbKZU3UTMh0As3TbJKasaKFl7pfIahYJb9_lYcu31wfvXzpmk0YhHW3uJ-af05DNtUB1XXQvnbuXg	COATS is to TACOS as 25317 is to...	Which number comes next in the following sequence? 41, 40, 43, 42, 45, ...	FEATHER is to WING as...	How did you hear about All Star Code?		readscore	rec	star
6616024273	167756374	01/07/2018 11:58:09 AM	01/07/2018 1:21:28 PM	98.116.198.86					sdfsdbnf	sasdfdf	Male		Black	African American			West Indian									08/15/2002	11234	NY	Brooklyn	123456789	Other (please specify)	Sprint	Animalguy.askdfsk@gmail.com		Althea	Kerr	askdfsk@aol.com	Medgar Evers College Preparatory	Public	10th	2	Not Applicable	Yes	No	In the 9th grade I was struggling with Alegbra. I needed more time to properly understand the work, my grades was affected by this. I decided to attend Saturday school to improve my understanding and my grades.	I prefer working as part of a team because we could help each other if a situation occurs. For example, if I'm having trouble with a problem my teammates could help me and vice versa.	Last summer I took swimming lessons for the first time. Learning how to swim helped me to overcome my fear of drowning.	To be honest I never thought about where I want to go to college. I do know I want to study computer science. When I was in the 8th grade, my math teacher gave the students a project to do. We had to design a video game. There was four teammates to a group and each teammate had a function. There was the team leader, the graphic designer, the coder and storyline creator. I was the coder, my math teacher had me learning basic coding in order to complete the project. I really enjoyed it. Ever since that project, I told myself I want to code. Obstacles that would prevent me from achieving this dream would be my lack of self-confidence, I require more time to understand a subject and my grades.	https://askdfsk.googleusercontent.com/6RLpvjClJPra6keQ686s-e_c8jbI9VxmRFLi8vuHiY-imLB0lc6CMZBswEz2IGdJLuL4eSsKB9D-_N7Frllr2LFhQwtVm_aqtJPegRE8RSV4g6IuBxSDYaE2BeIP5fwXsJLQIykeQ_k9xM0	13257	44	LEAF is to BRANCH	Other (please specify)	My mom's friend, Georgia Forbes from Ionic 6	2	TRUE	FALSE
6615914556	167756374	01/07/2018 9:23:54 AM	01/07/2018 9:39:42 AM	47.17.197.70					sdfsdbnf	sasdfdf	Male		Black	African American		Caribbean										04/17/2002	10460	NY	Bronx	123456789	T-Mobile		aaronuam17@charter.newvisions.org	aaronuam17@charter.newvisions.org	Prince	Nuamah	askdfsk@gmail.com																		2	FALSE	TRUE
6615852009	167756374	01/07/2018 7:45:45 AM	01/07/2018 7:50:41 AM	24.193.138.85					sdfsdbnf	sasdfdf	Male		Black				West Indian								Haitian American	04/12/2003	11691	NY	Far Rockaway	123456789	T-Mobile		21marcusm@lrei.org		FLORE	PERALTE MOISE	askdfsk@gmail.com	Elizabeth Irwin High School	Private	9th	3	Yes	Not Applicable	Yes											1	TRUE	FALSE
6615620818	167756374	01/06/2018 11:10:56 PM	01/06/2018 11:54:27 PM	172.56.34.184					sdfsdbnf	sasdfdf	Male		Hispanic/Latino			Caribbean										02/09/2001	10033	NY	New York	123456789	T-Mobile		askdfsk@icloud.com	Fgarc5289@inwoodearlycollege.org	Franklin	Garcia	askdfsk@hormail.com	Inwood Early College For Health And Information	Public	11th	2.5	No	Yes	Yes	When I first started to go to Highschool. I had a personal project to start letting go of certain pastimes that hinder my progress through school. The challenging part was getting my schedule in order. However I finally decided on a schedule tat gave me time to get my schoolwork done and still have time to do other things.	Depending on a project. Because if i am good at a what the project entails i prefer to work alone. However if i am not I prefer to work with other to get the job done. Or maybe if I know the project will take a long time I’ll prefer to work as a group.	I helped my father with his job. He was short handed and I got to lend him my services.	John jay, I want to study law. However my main desire is to study in the CTE field. Something preventing me from achieving might be my own internal problems. 	https://askdfsk.googleusercontent.com/6RLpvjClJPra6keQ686s-e_c8jbI9VxmRFLi8vuHiY-imLB0lc6CMZBswEz2IGdJLuL4eSsKB9D-_N7Frllr2LFhQwtVm_aqtJPegRE8RSV4g6IuBxSDYaE2BeIP5fwXsJLQIykeQ_k9xM0	I don't know...yet!	44	SEED is to FRUIT	My principal/teacher/counselor recommended I apply		1	FALSE	FALSE
6615593627	167756374	01/06/2018 10:08:34 PM	01/06/2018 10:09:18 PM	72.226.51.34					wrter	Rahman	Male		Neither											Southeast Asian																															2	TRUE	FALSE
6615582718	167756374	01/06/2018 9:43:36 PM	01/06/2018 10:04:42 PM	47.20.189.191					ertgwert	sdfgdg	Male		Black	African American												06/24/2002	11216	NY	Brooklyn	123456789	AT&T		askdfsk@gmail.com		Ira	Major	askdfsk@msn.com	George Westinghouse High School	Public	10th	2	No	Yes	Yes	Social Studies, I began to study with the help of my father and my teachers	part of an team	Played Basketball with an team.	California Baptist University , Engineering  , i would go because i like engineering. 	https://askdfsk.googleusercontent.com/eb1Q3M-1QAosKUg8eP1fzE0fqVzV9Ab1FtxBdn61_nipvCCVnMCe8OSZlIR37mWg2c3bduHcU2CfvCwrhoz4RSrMQVP88pXsw8l5m2k2m10N6EME3VWd551svwXAofcr4rgM019HctnekDw	71352	44	SEED is to FRUIT	My principal/teacher/counselor recommended I apply		2	FALSE	FALSE
6615566373	167756374	01/06/2018 9:07:51 PM	01/06/2018 9:17:56 PM	69.126.247.132					wertert	sdfg	Male		Hispanic/Latino					Hispanic/Latino								06/26/2001	10459	NY	Bronx	123456789	Boost Mobile		askdfsk@gmail.com	Alari6537@inwoodearlycollege.org	Jacqueline	Ramirez	askdfsk@gmail.com	Inwood early college	CTE	11th	2.6	Yes	Yes	Yes	I struggled a lot with math this year and in order to change that I started studying and started staying after school everyday in order to get help with math	Solo unless I’m with people who will actually do work. I tend to get put in groups that don’t want to do anything and I am the only one that does work.	Before going out the country for vacation I did a hobby. I played video games for money. It was important because I earned money off of doing something I liked	I would go to George Washington university to study forensic science and crime scene investigation. I find this field very interesting. The obstacles that might prevent me is the hard work to get there. I know it will take a lot of work to be in that field	https://askdfsk.googleusercontent.com/Gr16NTCmCJ31dEfrCQ1qiUOk1KX8USxqbI1E4GfHSiOR6OCR6K5XWaZuz1RF7_1qkEe_JrVyzmrOVM0Qgnq0fbXaf6XjXGoWkFSYuBTkBrW-nEbGDN6FwN2url98yn3hzbCCWheH9UJmpeM	I don't know...yet!	I don't know...yet!	I don't know...yet!	Other (please specify)	Phillip Feliz	1	TRUE	FALSE
6615266175	167756374	01/06/2018 2:25:10 PM	01/06/2018 3:47:59 PM	71.167.112.156					dsfgdgre	sdfgg	Male		Black	African American	African											07/17/2001	11203	NY	Brooklyn	123456789	T-Mobile		askdfsk@gmail.com		Bosun	Ogunnaike	askdfsk@gmail.com	Medgar Evers College Preparatory School	Public	11th	3.7	No	No	Yes	I've struggled several times throughout my life whether it being physically, being the smallest person or mentally, but for this application, I would like to talk about my academic struggles in AP Calculus. I was in 9th grade at the time, and throughout my entire life, I was always good at math, whether I studied or not. I got hundreds in several test in sixth grade, and always had one of the top grades for Math exams and report card grades, but AP Calculus was completely different. I remember walking into the class on the first day thinking I was going to ace this class as the teacher had a good reputation for his students passing the AP exam. However, I was very wrong. Throughout the school year, I failed almost all quizzes and tests in his class and our teacher constantly reminded us that if you can't do well in this class, then you'll struggle severely if you want to be an engineer. I felt like I didn't belong in that class everyday and several people urged me to drop the class, but I knew that I didn't want to give up. At first I accepted that I wouldn't pass and accepted the 40s and 50s on test. However, one test, I got a 21 and from that moment on, I was determined to do whatever it took to pass his class and the AP exam. So I worked hard spending hours every night studying and then still failing tests.  However, I kept practicing and learned from my mistakes on tests. I made a gigantic leap and passed the AP Calculus AB exam. The entire AP Calculus experience taught me to be humble and to work hard for everything that you have and more importantly never give up without a fight.  	I prefer working as part of a team rather than working solo, but only if there is a good team. There isn't anything bad with working solo, but being part of team adds another element in problem solving as compared to working solo. That is because when working with a team, who shares the same goal that you do, that shares the same initiative and passion to solve a problem as you,  the element of teamwork arises. This element of teamwork combines brilliant minds and forms a variety of ideas and insights in solving a problem. The element of teamwork, in my opinion also provides a support group that eliminates any feeling of doubt or fear. Overall, a team saves time and makes the process of solving a problem more efficient as compared to working solo due to the element of teamwork.  	Last summer, I studied abroad in Beijing, China with 12 other kids across the United States in a program called Americans Promoting Study Abroad (APSA). I extended my knowledge in the Chinese language and culture, but more importantly I feel as if I opened my perspective and horizon in aasdfacitizenship and networking. I connected with people from the other side of the world and neglected our differences, but embraced our similarities. I met 12 other amazing kids from all of the United States and connected with them on several topics that are sensitive today. Lastly, I am assisting in opening the gateway for other kids across the United States to study abroad by volunteering as a web designer for a website, DOTTO.   	If money were no object, I'm not 100% sure what college I would go to since they are thousands of colleges in the United States, but I would most likely attend the Massachusetts Institute of Technology (MIT) to study mechanical or electrical engineering. When I was younger, I was always scared because I felt as I wasn't good enough to have a career in anything. Then I went to middle school and high school where learned my favorite subjects, physics, chemistry, and math/calculus and more importantly felt inspired by the impact of those subjects in society through engineering. The best college for engineering is MIT so that is why I would go there. However, the engineering field is very demanding on the mind and the body. The statistics show this as there are very few people of color going into the engineering field and that the engineering fields are one of the hardest to go through. However, I believe that no matter what college I go to, as long as I work hard and put my mind to become an engineer, I will become an engineer. 	https://askdfsk.googleusercontent.com/OS0wpZ0GeZM23FnjTN7LaTkphXb8dsvw3Up13aK3KjkFcYAsKXofjNk_SJn_NK5I9PsZjVv-wVISYsClq8HMNuYerLBFdBV6q5rAhkjEW2GvPWcPG8-DyfQKajY9_y_LAjtjhOAoxWyvjYQ	13257	44	SEED is to FRUIT	My friend participated in ASC (give name below)		2	FALSE	FALSE
6615160683	167756374	01/06/2018 1:38:06 PM	01/06/2018 2:31:02 PM	172.56.34.44					erte	dsfgsg	Male		Black				West Indian								British	03/22/2004	11434	NY	Springfield Gardens	123456789	T-Mobile		askdfsk@hotmail.com		Tricia	Sinclair-Dixon	askdfsk@aol.com	Brooklyn Latin	Public	10th	3.8	Not Applicable	No	Yes	When I first started high school, I was having a hard time in math which is my favorite subject. This had me worried and didn't want to fail. I knew I needed to seek help to see what I was missing. So I ended up getting a tutor to assist me in my troubles, and it worked.	Solo because I am able to concentrate and think better single-handedly.	Last summer, my cousin came over to this country to spend time with my family. It was important to me because I hoped for 2 years that he would come to the U.S. and I finally got what I wanted.	I will love to attend Columbia University or Harvard.  The only thing that will hold me back will be the money to pay for it.	https://askdfsk.googleusercontent.com/eb1Q3M-1QAosKUg8eP1fzE0fqVzV9Ab1FtxBdn61_nipvCCVnMCe8OSZlIR37mWg2c3bduHcU2CfvCwrhoz4RSrMQVP88pXsw8l5m2k2m10N6EME3VWd551svwXAofcr4rgM019HctnekDw	13257	44	LEAF is to BRANCH	Other (please specify)	School email	3	TRUE	FALSE
6615020084	167756374	01/06/2018 11:21:37 AM	01/06/2018 11:21:54 AM	70.208.77.40																																																			1	FALSE	FALSE
6614312129	167756374	01/05/2018 5:03:58 PM	01/05/2018 5:06:50 PM	66.65.1.33					sdfgdg	sdfg	Male		Hispanic/Latino					Hispanic/Latino								12/28/2000	11372	NY	Jackson Heights	123456789	T-Mobile		Avilaalberto.askdfsk@gmail.com	Avilaalberto.askdfsk@gmail.com	Marjorie	Chavez	askdfsk@hotmail.com																		2	TRUE	FALSE
6614083056	167756374	01/05/2018 2:17:11 PM	01/05/2018 2:31:26 PM	146.203.134.50					dfgdsfg	sdfgd	Female		Black	African American		Caribbean		Hispanic/Latino								12/16/2003	11423	NY	HOLLIS	123456789	T-Mobile		askdfsk@gmail.aasdfa		ANTUANETTE	LEWIS	askdfsk@msn.com	Queens high school of teaching	Public	9th	3	Not Applicable	Yes	No											3	FALSE	FALSE
